"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: W5 Mapping","Mapping: Object Implementation Information"
"CapabilityStatement","","","",1,1,"","","","","A statement of system capabilities","This is a simple example Template.","","","","","","","","","",,,,,"",,,,"CapabilityStatement",1,1,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}cpb-8:There can only be one REST declaration per mode. {rest.select(mode).isDistinct()}cpb-7:The set of documents must be unique by the combination of profile and mode. {document.select(profile.reference&mode).isDistinct()}cpb-15:Capability Statements of kind 'instance' do not have implementation elements. {implementation.empty() or kind != 'capability'}cpb-3:Messaging end-point is required (and is only permitted) when a statement is for an implementation. {messaging.endpoint.empty() or kind = 'instance'}cpb-14:Capability Statements of kind 'requirements' do not have software or implementation elements. {(software.empty() and implementation.empty()) or kind != 'requirements'}cpb-2:A Capability Statement SHALL have at least one of description, software, or implementation element. {(description.count() + software.count() + implementation.count()) > 0}cpb-1:A Capability Statement SHALL have at least one of REST, messaging or document element. {rest.exists() or messaging.exists() or document.exists()}","Entity. Role, or Act","n/a","conformance.behavior"
"CapabilityStatement.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"CapabilityStatement.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"CapabilityStatement.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. 

This element is labelled as a modifier because the implicit rules may provide additional knowledge about the resource that modifies it's meaning or interpretation.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"",""
"CapabilityStatement.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"extensible","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"",""
"CapabilityStatement.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded in formation is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-1
","","Act.text?"
"CapabilityStatement.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"CapabilityStatement.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","","N/A"
"CapabilityStatement.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.url","","","",0,1,"","","Y","uri {[]} {[]}
","Logical URI to reference this capability statement (globally unique)","An absolute URI that is used to identify this capability statement when it is referenced in a specification, model, design or an instance. This SHALL be a URL, SHOULD be globally unique, and SHOULD be an address at which this capability statement is (or will be) published. The URL SHOULD include the major version of the capability statement. For more information see [Technical and Business Versions](resource.html#versions).","Can be a urn:uuid: or a urn:oid:, but real http: addresses are preferred.  Multiple instances may share the same url if they have a distinct version.","Allows the capability statement to be referenced by a single globally unique identifier.","","","","","","","",,,,,"",,,,"CapabilityStatement.url",0,1,"","","id"
"CapabilityStatement.version","","","",0,1,"","","Y","string {[]} {[]}
","Business version of the capability statement","The identifier that is used to identify this version of the capability statement when it is referenced in a specification, model, design or instance. This is an arbitrary value managed by the capability statement author and is not expected to be globally unique. For example, it might be a timestamp (e.g. yyyymmdd) if a managed version is not available. There is also no expectation that versions can be placed in a lexicographical sequence.","There may be different capability statement instances that have the same identifier but different versions.  The version can be appended to the url in a reference to allow a refrence to a particular business version of the capability statement with the format [url]|[version].","","","","","","","","",,,,,"",,,,"CapabilityStatement.version",0,1,"","","id.version"
"CapabilityStatement.name","","","",0,1,"","","Y","string {[]} {[]}
","Name for this capability statement (computer friendly)","A natural language name identifying the capability statement. This name should be usable as an identifier for the module by machine processing applications such as code generation.","The name is not expected to be globally unique. The name should be a simple alpha-numeric type name to ensure that it is computable friendly.","Support human navigation and code generation.","","","","","","","",,,,,"",,,,"CapabilityStatement.name",0,1,"",""
"CapabilityStatement.title","","","",0,1,"","","Y","string {[]} {[]}
","Name for this capability statement (human friendly)","A short, descriptive, user-friendly title for the capability statement.","This name does not need to be machine-processing friendly and may contain punctuation, white-space, etc.","","","","","","","","",,,,,"",,,,"CapabilityStatement.title",0,1,"",""
"CapabilityStatement.status","","","",1,1,"","Y","Y","code {[]} {[]}
","draft | active | retired | unknown","The status of this capability statement. Enables tracking the life-cycle of the content.","Allows filtering of capability statements that are appropriate for use vs. not.  
This is labeled as ""Is Modifier"" because applications should not use a retired capability statement without due consideration. This is not intended for use with actual capability statements, but where capability statements are used to describe possible or desired systems.","","","","","","","","",,"required","The lifecycle status of a Value Set or Concept Map.","http://hl7.org/fhir/ValueSet/publication-status","",,,,"CapabilityStatement.status",1,1,"","","status"
"CapabilityStatement.experimental","","","",0,1,"","Y","Y","boolean {[]} {[]}
","For testing purposes, not real usage","A boolean value to indicate that this capability statement is authored for testing purposes (or education/evaluation/marketing), and is not intended to be used for genuine usage.","Allows filtering of capability statement that are appropriate for use vs. not. This is labeled as ""Is Modifier"" because applications should not use an experimental capability statement in production.","Enables experimental content to be developed following the same lifecycle that would be used for a production-level capability statement.","","","","","","","",,,,,"",,,,"CapabilityStatement.experimental",0,1,"","","class"
"CapabilityStatement.date","","Revision Date
","",1,1,"","","Y","dateTime {[]} {[]}
","Date this was last changed","The date  (and optionally time) when the capability statement was published. The date must change if and when the business version changes and it must change if the status code changes. In addition, it should change when the substantive content of the capability statement changes.","Note that this is not the same as the resource last-modified-date, since the resource may be a secondary representation of the capability statement. Additional specific dates may be added as extensions or be found by consulting Provenances associated with past versions of the resource.","","","","","","","","",,,,,"",,,,"CapabilityStatement.date",1,1,"","","when.recorded"
"CapabilityStatement.publisher","","","",0,1,"","","Y","string {[]} {[]}
","Name of the publisher (organization or individual)","The name of the individual or organization that published the capability statement.","Usually an organization, but may be an individual. The publisher (or steward) of the capability statement is the organization or individual primarily responsible for the maintenance and upkeep of the capability statement. This is not necessarily the same individual or organization that developed and initially authored the content. The publisher is the primary point of contact for questions or issues with the capability statement. This item SHOULD be populated unless the information is available from context.","Helps establish the ""authority/credibility"" of the capability statement.  May also allow for contact.","","","","","","","",,,,,"",,,,"CapabilityStatement.publisher",0,1,"","","who.witness"
"CapabilityStatement.contact","","","",0,*,"","","Y","ContactDetail {[]} {[]}
","Contact details for the publisher","Contact details to assist a user in finding and communicating with the publisher.","May be a web site, an email address, a telephone number, etc.","","","","","","","","",,,,,"",,,,"CapabilityStatement.contact",0,*,"",""
"CapabilityStatement.description","","","",0,1,"","","","markdown {[]} {[]}
","Natural language description of the capability statement","A free text natural language description of the capability statement from a consumer's perspective. Typically, this is used when the capability statement describes a desired rather than an actual solution, for example as a formal expression of requirements as part of an RFP.","This description can be used to capture details such as why the capability statement was built, comments about misuse, instructions for clinical use and interpretation, literature references, examples from the paper world, etc. It is not a rendering of the capability statement as conveyed in the 'text' field of the resource itself. This item SHOULD be populated unless the information is available from context (e.g. the language of the profile is presumed to be the predominant language in the place the profile was created). This does not need to be populated if the description is adequately implied by the software or implementation details.","","","","","","","","",,,,,"",,,,"CapabilityStatement.description",0,1,"cpb-2
",""
"CapabilityStatement.useContext","","","",0,*,"","","Y","UsageContext {[]} {[]}
","Context the content is intended to support","The content was developed with a focus and intent of supporting the contexts that are listed. These terms may be used to assist with indexing and searching for appropriate capability statement instances.","When multiple useContexts are specified, there is no expectation whether all or any of the contexts apply.","Assist in searching for appropriate content.","","","","","","","",,,,,"",,,,"CapabilityStatement.useContext",0,*,"",""
"CapabilityStatement.jurisdiction","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Intended jurisdiction for capability statement (if applicable)","A legal or geographic region in which the capability statement is intended to be used.","It may be possible for the capability statement to be used in jurisdictions other than those for which it was originally designed or intended.","","","","","","","","",,"extensible","Countries and regions within which this artifact is targeted for use","http://hl7.org/fhir/ValueSet/jurisdiction","",,,,"CapabilityStatement.jurisdiction",0,*,"",""
"CapabilityStatement.purpose","","","",0,1,"","","","markdown {[]} {[]}
","Why this capability statement is defined","Explaination of why this capability statement is needed and why it has been designed as it has.","This element does not describe the usage of the capability statement Instead  it provides traceability of ''why'' the resource is either needed or ''why'' it is defined as it is.  This may be used to point to source materials or specifications that drove the structure of this capability statement.","","","","","","","","",,,,,"",,,,"CapabilityStatement.purpose",0,1,"","","why","no-gen-base"
"CapabilityStatement.copyright","","License
Restrictions","",0,1,"","","","markdown {[]} {[]}
","Use and/or publishing restrictions","A copyright statement relating to the capability statement and/or its contents. Copyright statements are generally legal restrictions on the use and publishing of the capability statement.","","Consumers must be able to determine any legal restrictions on the use of the capability statement and/or its content.","","","","","","","",,,,,"",,,,"CapabilityStatement.copyright",0,1,"","","no-gen-base"
"CapabilityStatement.kind","","","",1,1,"","","Y","code {[]} {[]}
","instance | capability | requirements","The way that this statement is intended to be used, to describe an actual running instance of software, a particular product (kind not instance of software) or a class of implementation (e.g. a desired purchase).","","Allow searching the 3 modes.","","","","","","","",,"required","How a capability statement is intended to be used.","http://hl7.org/fhir/ValueSet/capability-statement-kind","",,,,"CapabilityStatement.kind",1,1,"",""
"CapabilityStatement.instantiates","","","",0,*,"","","Y","uri {[]} {[]}
","Canonical URL of another capability statement this implements","Reference to a canonical URL of another CapabilityStatement that this software implements or uses. This capability statement is a published API description that corresponds to a business service. The rest of the capability statement does not need to repeat the details of the referenced resource, but can do so.","HL7 defines the following Services: [Terminology Service](terminology-service.html).

Many [Implementation Guides](http://fhir.org/guides/registry) define additional services.","","","","","","","","",,,,,"",,,,"CapabilityStatement.instantiates",0,*,"",""
"CapabilityStatement.software","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Software that is covered by this capability statement","Software that is covered by this capability statement.  It is used when the capability statement describes the capabilities of a particular software version, independent of an installation.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.software",0,1,"cpb-2
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.software.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.software.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.software.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.software.name","","","",1,1,"","","Y","string {[]} {[]}
","A name the software is known by","Name software is known by.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.software.name",1,1,"",""
"CapabilityStatement.software.version","","","",0,1,"","","Y","string {[]} {[]}
","Version covered by this statement","The version identifier for the software covered by this statement.","If possible, a version should be specified, as statements are likely to be different for different versions of software.","","","","","","","","",,,,,"",,,,"CapabilityStatement.software.version",0,1,"",""
"CapabilityStatement.software.releaseDate","","","",0,1,"","","Y","dateTime {[]} {[]}
","Date this version released","Date this version of the software was released.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.software.releaseDate",0,1,"",""
"CapabilityStatement.implementation","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","If this describes a specific instance","Identifies a specific implementation instance that is described by the capability statement - i.e. a particular installation, rather than the capabilities of a software program.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.implementation",0,1,"cpb-2
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.implementation.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.implementation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.implementation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.implementation.description","","","",1,1,"","","Y","string {[]} {[]}
","Describes this specific instance","Information about the specific installation that this capability statement relates to.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.implementation.description",1,1,"",""
"CapabilityStatement.implementation.url","","","",0,1,"","","Y","uri {[]} {[]}
","Base URL for the installation","An absolute base URL for the implementation.  This forms the base for REST interfaces as well as the mailbox and document interfaces.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.implementation.url",0,1,"",""
"CapabilityStatement.fhirVersion","","","",1,1,"","","Y","id {[]} {[]}
","FHIR Version the system uses","The version of the FHIR specification on which this capability statement is based.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.fhirVersion",1,1,"",""
"CapabilityStatement.acceptUnknown","","","",1,1,"","","Y","code {[]} {[]}
","no | extensions | elements | both","A code that indicates whether the application accepts unknown elements or extensions when reading resources.","Unknown elements in a resource can only arise as later versions of the specification are published, because this is the only place where such elements can be defined. Hence accepting unknown elements is about inter-version compatibility.

Applications are recommended to accept unknown extensions and elements ('both'), but this is not always possible.","","","","","","","","",,"required","A code that indicates whether an application accepts unknown elements or extensions when reading resources.","http://hl7.org/fhir/ValueSet/unknown-content-code","",,,,"CapabilityStatement.acceptUnknown",1,1,"",""
"CapabilityStatement.format","","","",1,*,"","","Y","code {[]} {[]}
","formats supported (xml | json | ttl | mime type)","A list of the formats supported by this implementation using their content types.","""xml"", ""json"" and ""ttl"" are allowed, which describe the simple encodings described in the specification (and imply appropriate bundle support). Otherwise, mime types are legal here.","","","","","","","","",,"required","The mime type of an attachment. Any valid mime type is allowed.","http://hl7.org/fhir/ValueSet/mimetypes","",,,,"CapabilityStatement.format",1,*,"",""
"CapabilityStatement.patchFormat","","","",0,*,"","","Y","code {[]} {[]}
","Patch formats supported","A list of the patch formats supported by this implementation using their content types.","At present, the patch mime types application/json-patch+json and application/xml-patch+xml are legal. Generally, if a server supports PATCH, it would be expected to support the patch formats and match the formats it supports, but this is not always possible or necessary.","","","","","","","","",,"required","The mime type of an attachment. Any valid mime type is allowed.","http://hl7.org/fhir/ValueSet/mimetypes","",,,,"CapabilityStatement.patchFormat",0,*,"",""
"CapabilityStatement.implementationGuide","","","",0,*,"","","Y","uri {[]} {[]}
","Implementation guides supported","A list of implementation guides that the server does (or should) support in their entirety.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.implementationGuide",0,*,"",""
